Date,Wind Speed,group1_windpower(kWh),group2_windpower(kWh),group3_windpower(kWh)
21-Sep,9.08,152037,155129,164536
22-Sep,9.06,158437,157914,153338
23-Sep,8.37,126888,131141,139783
24-Sep,9.4,146334,153829,174932
25-Sep,8.82,132469,139282,173629
26-Sep,7.25,105093,105117,99370
27-Sep,5.98,66285,70522,79391
28-Sep,7.81,106421,113910,138928
29-Sep,6.78,78624,94642,89444
30-Sep,9.16,134294,155620,174879
1-Oct,10.64,183787,185675,201637
2-Oct,11.49,208919,209042,227380
3-Oct,8.76,127794,134698,168709
4-Oct,7.64,96254,104839,134850
5-Oct,8.88,120523,144650,165586
6-Oct,8.48,115737,134766,148071
7-Oct,9.36,143384,159656,175780
8-Oct,10.69,186584,192441,204142
9-Oct,10.4,186579,186901,197229
10-Oct,8.4,126881,138924,151996
11-Oct,9.36,157563,161455,169151
12-Oct,8.88,145176,150379,159645
13-Oct,8.23,136554,124738,121525
14-Oct,7.45,118876,112500,102572
15-Oct,8.42,127557,133994,141670
16-Oct,8.65,128885,143191,153329
17-Oct,8.31,120714,132146,146639
18-Oct,10.46,213986,210143,201052
19-Oct,7.89,130362,131386,131328
20-Oct,7.67,104878,118820,108872
21-Oct,7.06,102319,113162,110932
22-Oct,9.05,144854,166408,196287
23-Oct,9.38,181629,184499,172190
24-Oct,7.62,127910,126031,124661
25-Oct,8.25,129670,137757,146047
26-Oct,10.1,175293,185396,208304
27-Oct,9.68,185462,188184,191851
28-Oct,7.48,112620,113411,110675
29-Oct,8.83,159549,161919,151014
30-Oct,9,166364,166266,157992
31-Oct,9.49,178361,150410,169354
1-Nov,10.55,201917,204925,204543
2-Nov,9.26,170363,169953,156444
3-Nov,11.1,198278,208571,232184
4-Nov,7.95,113607,132055,136417
5-Nov,8.12,122950,139806,137464
6-Nov,6.54,83704,94025,85163
7-Nov,6.67,126195,129330,42801
8-Nov,10.18,186216,189864,291413
9-Nov,9.66,176716,148279,195306
10-Nov,9.88,193893,118160.5,220312
11-Nov,8.57,124315,88042,128388
12-Nov,9.9,187240,191432,194864
13-Nov,10.86,195469,217699,217807
14-Nov,10.11,176946,190114,181315
15-Nov,9.23,158395,169276,211802
16-Nov,8.98,149873,152929,162843
17-Nov,8.81,149270,140444,160768
18-Nov,7.72,123310,118728,109118
19-Nov,7.99,128828,126852,118185
20-Nov,8.54,149707,146707,134508
21-Nov,9.32,185128,158260,160611
22-Nov,7.87,126774,127667,108643
23-Nov,8.53,144556,142967,133819
24-Nov,10.44,199170,192071,196901
25-Nov,10.85,204702,200932,191658
26-Nov,10.05,162817,180558,192190
27-Nov,9.68,185462,188184,191851
28-Nov,7.48,112620,113411,110675
29-Nov,8.83,159549,161919,151014
30-Nov,9,166364,166266,157992
1-Dec,9.49,178361,150410,169354
2-Dec,10.55,201917,204925,204543
3-Dec,9.26,170363,169953,156444
4-Dec,11.1,198278,208571,232184
5-Dec,7.95,113607,132055,136417
6-Dec,8.12,122950,139806,137464
7-Dec,6.54,83704,94025,85163
8-Dec,6.67,126195,129330,42801
9-Dec,10.18,186216,189864,291413
10-Dec,9.66,176716,148279,195306
11-Dec,9.88,193893,118160.5,220312
12-Dec,8.57,124315,88042,128388
13-Dec,9.9,187240,191432,194864
14-Dec,10.86,195469,217699,217807
